magnitude,cdi,mmi,sig,depth,distance_to_coast_km,nst,dmin,gap,latitude,longitude,Year,Month,tsunami,month_number
-0.454008416601561,0.36613374981772984,-0.7508147678523774,0.04211710432730509,-1.273281775705411,-0.6411818005268148,0.0,1.319,19.0,-39.3264,-74.9067,2020.0,12.0,0.0,252.0
0.48059559293236315,1.1472953109916868,0.6829488164424539,1.8021537343525404,-0.2715507973602613,-0.6411818005268148,0.0,1.518,18.0,37.8973,26.7953,2020.0,10.0,0.0,250.0
1.4646958752611032,1.387523759968249,0.6829488164424539,1.4727814894178903,0.06741353842235369,-0.6411818005268148,0.0,0.23,36.0,54.662,-159.675,2020.0,10.0,0.0,250.0
0.21500349984005881,-1.3817597219672413,-2.007214315224362,-0.34917419787893855,-1.273281775705411,-0.6411818005268148,0.0,11.255,16.0,0.9604,-26.8332,2020.0,9.0,0.0,249.0
-1.3665529915885404,0.6383927230931773,-0.053959291497093366,-1.0353339939702266,-0.6106745920994686,-0.6411818005268148,0.0,0.388,49.0,-27.9285,-71.3937,2020.0,9.0,0.0,249.0
-0.09394104694646789,0.6383927230931773,0.6829488164424539,0.3783202025617416,-0.2715507973602613,-0.6411818005268148,0.0,0.312,69.0,-28.013,-71.1958,2020.0,9.0,0.0,249.0
-1.3665529915885404,0.07843260392738816,-0.7508147678523774,-1.3793756502142154,-1.273281775705411,-0.6411818005268148,0.0,15.394,31.0,0.8696,-29.7046,2020.0,8.0,0.0,248.0
0.21500349984005881,0.07843260392738816,-2.007214315224362,-0.1869588958414075,1.970409239492384,-0.6411818005268148,0.0,2.267,20.0,-6.6704,123.493,2020.0,8.0,0.0,248.0
0.21500349984005881,0.07843260392738816,-1.4036425562442758,-0.31944264693413243,-0.027096940952782166,-0.6411818005268148,0.0,1.716,25.0,-4.2791,101.215,2020.0,8.0,0.0,248.0
-0.09394104694646789,0.36613374981772984,-1.4036425562442758,-0.516371058107247,-0.2166950597015247,-0.6411818005268148,0.0,1.816,34.0,-4.3724,101.095,2020.0,8.0,0.0,248.0
-0.8744997264483564,1.387523759968249,1.4567624436218125,0.10399374943450988,-1.273281775705411,-0.6411818005268148,0.0,5.128,14.0,12.0065,124.13,2020.0,8.0,0.0,248.0
1.6461280599279884,1.387523759968249,0.6829488164424539,1.3816552119788847,0.05338471726597059,-0.6411818005268148,0.0,0.621,60.0,55.1079,-158.477,2020.0,7.0,1.0,247.0
0.48059559293236315,0.6383927230931773,0.6829488164424539,0.35328371979532225,0.9130958701467942,-0.6411818005268148,0.0,1.671,18.0,-7.847,147.755,2020.0,7.0,0.0,247.0
-0.8744997264483564,0.07843260392738816,-2.5542422084328646,-0.8999940746697933,1.9209911877050632,-0.6411818005268148,0.0,1.458,14.0,-5.6368,110.678,2020.0,7.0,0.0,247.0
1.2251431619026028,1.1472953109916868,1.4567624436218125,1.784423578513148,-0.33006297194282713,1.2892105563576566,0.0,0.151,30.0,15.9163,-95.9533,2020.0,6.0,1.0,246.0
1.2251431619026028,0.8980948147246811,0.6829488164424539,0.6489185432780964,-1.273281775705411,-0.6411818005268148,0.0,4.035,23.0,-33.2938,-177.838,2020.0,6.0,1.0,246.0
-0.8744997264483564,0.36613374981772984,-1.4036425562442758,-0.32929869339088225,1.4268088817224904,-0.6411818005268148,0.0,2.015,18.0,28.9386,128.262,2020.0,6.0,0.0,246.0
-0.09394104694646789,0.6383927230931773,-0.053959291497093366,0.44470106110758384,1.203829853414355,1.7304669642102124,0.0,1.164,21.0,-23.2966,-68.4204,2020.0,6.0,0.0,246.0
-1.3665529915885404,0.8980948147246811,1.4567624436218125,1.6583436484375893,-3.5722323496499757,1.758746979133502,27.0,0.357,55.79,38.1689,-117.85,2020.0,5.0,0.0,245.0
-0.8744997264483564,0.07843260392738816,-0.053959291497093366,-1.077535344953622,1.1751508713567544,-0.6411818005268148,0.0,3.403,12.0,-12.0662,166.648,2020.0,5.0,0.0,245.0
-0.09394104694646789,0.07843260392738816,-0.053959291497093366,-0.2901967568521307,1.1048627133598423,-0.6411818005268148,0.0,1.921,16.0,-6.7762,129.785,2020.0,5.0,0.0,245.0
-1.3665529915885404,0.8980948147246811,-0.053959291497093366,-0.9802310289019901,-1.273281775705411,-0.6411818005268148,0.0,1.293,19.0,34.1818,25.7101,2020.0,5.0,0.0,245.0
-1.3665529915885404,1.1472953109916868,1.4567624436218125,1.7313620107102692,-0.9974880704833889,1.7746476237529714,0.0,0.885,31.0,44.4646,-115.118,2020.0,3.0,0.0,243.0
1.3533219721958683,0.6383927230931773,-0.7508147678523774,0.6779708758843829,0.7322075113716316,-0.6411818005268148,0.0,4.109,12.0,48.9638,157.695,2020.0,3.0,1.0,243.0
0.48059559293236315,0.36613374981772984,-0.053959291497093366,-0.006007396476850968,1.3485333935310724,-0.6411818005268148,0.0,4.501,25.0,45.6161,148.959,2020.0,2.0,0.0,242.0
1.5616286794641294,1.387523759968249,-0.053959291497093366,1.9069024247682291,-0.7084052357097945,-0.6411818005268148,0.0,1.657,26.0,19.4193,-78.756,2020.0,1.0,1.0,241.0
-0.454008416601561,1.1472953109916868,2.264914232243618,1.5824811763176645,-1.273281775705411,1.7473474384295187,0.0,0.87,49.0,38.4312,39.0609,2020.0,1.0,0.0,241.0
-0.09394104694646789,1.387523759968249,0.6829488164424539,0.3845028150352334,-0.45987810325864337,1.4897798332396688,0.0,0.546,39.0,6.6969,125.174,2019.0,12.0,0.0,240.0
