iter	Logloss
0	0.6727101346
1	0.6535503805
2	0.635467081
3	0.6182960561
4	0.6007280114
5	0.5850117875
6	0.5693460903
7	0.5559984746
8	0.5430929721
9	0.5311436209
10	0.5195176991
11	0.5106044525
12	0.5023951543
13	0.4941445813
14	0.4851342311
15	0.4762005714
16	0.4677742817
17	0.4602056337
18	0.4524799235
19	0.4453243551
20	0.439228543
21	0.4309068073
22	0.4249999748
23	0.4178795929
24	0.4131842702
25	0.4074995862
26	0.4020542883
27	0.3954532603
28	0.3894313413
29	0.3846722206
30	0.3791068352
31	0.3736279783
32	0.3691350325
33	0.3655079641
34	0.3618596782
35	0.358839614
36	0.3558181929
37	0.3528325187
38	0.3498050443
39	0.3463729113
40	0.3428709545
41	0.3398741903
42	0.3359606511
43	0.3343747265
44	0.3317020561
45	0.3288630205
46	0.3257562249
47	0.3233241764
48	0.3201180488
49	0.3175476816
50	0.3153970821
51	0.3134929705
52	0.3118580261
53	0.310280393
54	0.3072071126
55	0.3037996538
56	0.3027056867
57	0.3012045039
58	0.2990275031
59	0.2971850119
60	0.2946941355
61	0.292710977
62	0.2909294584
63	0.2893749029
64	0.287620852
65	0.2852305034
66	0.2833095719
67	0.2812607179
68	0.2791735282
69	0.2781853155
70	0.276886596
71	0.2750835412
72	0.2735388632
73	0.2721771428
74	0.2712472404
75	0.2696747658
76	0.2678468984
77	0.2668190829
78	0.2650533454
79	0.2637292332
80	0.2624324697
81	0.2615083987
82	0.2604957686
83	0.2595807726
84	0.2584472571
85	0.2577254719
86	0.256455369
87	0.255254645
88	0.2538631964
89	0.2527233668
90	0.2519143156
91	0.2509258043
92	0.2496248955
93	0.248391729
94	0.247042094
95	0.2460184529
96	0.2444513572
97	0.2438513452
98	0.2427171942
99	0.2417320796
100	0.2406676408
101	0.239672132
102	0.2384069392
103	0.2368667916
104	0.2356452646
105	0.2341528604
106	0.2332162173
107	0.2325709071
108	0.2302936287
109	0.2295494365
110	0.2286074072
111	0.227633982
112	0.2266455142
113	0.2256813679
114	0.2249020939
115	0.2238177209
116	0.2231801234
117	0.2223305881
118	0.2214218184
119	0.2202223479
120	0.219538864
121	0.2183945053
122	0.2173955784
123	0.2163611372
124	0.2155625478
125	0.2146158831
126	0.2137473053
127	0.212874175
128	0.2120913149
129	0.2115863878
130	0.2108158612
131	0.2095212418
132	0.2080510856
133	0.2072651187
134	0.2064962486
135	0.2058530662
136	0.2050995156
137	0.2037996499
138	0.2030673095
139	0.2020794613
140	0.2012280835
141	0.2000419965
142	0.1994193843
143	0.1980693785
144	0.1973349933
145	0.1966711739
146	0.1958499121
147	0.1948967555
148	0.193881543
149	0.193284447
150	0.1925734905
151	0.1919571544
152	0.1909959114
153	0.1905783477
154	0.1896789552
155	0.1886978678
156	0.1881227265
157	0.1875096269
158	0.1868863075
159	0.1858767963
160	0.1845830898
161	0.1838581368
