iter	Logloss
162	0.1834363501
163	0.1824664381
164	0.1817896046
165	0.1812219684
166	0.1806055856
167	0.1799547891
168	0.1794080603
169	0.1787927894
170	0.177836256
171	0.1772499093
172	0.1766649747
173	0.1759078472
174	0.1750651107
175	0.1746449808
176	0.1741436866
177	0.1735335579
178	0.1726408678
179	0.171482525
180	0.1708782403
181	0.1703428214
182	0.1699624156
183	0.169575092
184	0.1689275189
185	0.1686483877
186	0.1680942554
187	0.1673886709
188	0.166444295
189	0.1654110317
190	0.164667142
191	0.164142724
192	0.1637632397
193	0.1633303353
194	0.1625701137
195	0.161828683
196	0.1611841525
197	0.1606493108
198	0.1598800912
199	0.1592379906
200	0.1589269165
201	0.1581925485
202	0.1574454085
203	0.1567502123
204	0.1564685757
205	0.1557896701
206	0.1550961836
207	0.1546039734
208	0.1544165763
209	0.1538180372
210	0.153407722
211	0.1529210869
212	0.1517272472
213	0.1512004314
214	0.1502825924
215	0.1494359373
216	0.1485780118
217	0.1478014958
218	0.1469848832
219	0.1465270587
220	0.1459377094
221	0.1453787125
222	0.144675696
223	0.143830225
224	0.1435205206
225	0.1425664783
226	0.1420482471
227	0.1415696471
228	0.14123436
229	0.1404508789
230	0.1399580478
231	0.1393446901
232	0.1390296543
233	0.1383922939
234	0.1378349115
235	0.1373770321
236	0.1369355539
237	0.1363831569
238	0.135630708
239	0.1350437358
240	0.1344360187
241	0.1339779945
242	0.1336323844
243	0.1329357391
244	0.132546603
245	0.1318234769
246	0.1312076024
247	0.1307381879
248	0.1303004672
249	0.1296360877
250	0.1292585671
251	0.1286639315
252	0.1281547045
253	0.1275457928
254	0.126888042
255	0.1265760697
256	0.1260308193
257	0.1258364591
258	0.1251882975
259	0.124820784
260	0.1246535515
261	0.1242039926
262	0.1234819135
263	0.1230092459
264	0.1222988551
265	0.1216205005
266	0.1211659877
267	0.1205014793
268	0.1199749344
269	0.1194023524
270	0.1189931172
271	0.1183482611
272	0.1180828864
273	0.1176494238
274	0.1171497673
275	0.1165905679
276	0.1163645348
277	0.1159264175
278	0.1150682861
279	0.1144405231
280	0.114048106
281	0.1136371681
282	0.1134195919
283	0.1127772513
284	0.1124997865
285	0.1120128435
286	0.1118294696
287	0.1114210468
288	0.1110453037
289	0.1107199947
290	0.1105162085
291	0.1100614295
292	0.1095691261
293	0.1091600379
294	0.1084962631
295	0.108270659
296	0.1078727668
297	0.1075703277
298	0.1070278153
299	0.1066789654
300	0.1062647032
301	0.1057895757
302	0.1055483628
303	0.1051909518
304	0.1048902966
305	0.1043470492
306	0.1040359299
307	0.1037797178
308	0.1032078202
309	0.1029173189
310	0.1025318681
311	0.1021715317
312	0.1018905516
313	0.1016615389
314	0.1011784927
315	0.1008234932
316	0.1003408171
317	0.100045252
318	0.09964985768
319	0.09931750263
320	0.09883355097
321	0.09845846009
322	0.09804861582
323	0.09759467878
324	0.09724722677
325	0.09683168831
326	0.09631805869
327	0.09604243223
328	0.09557915722
329	0.09511657973
330	0.09472702529
331	0.09410257972
332	0.09356605508
333	0.0932254695
334	0.09277185821
335	0.09233593149
336	0.09200955721
337	0.09153116452
338	0.09116604654
339	0.09086379912
340	0.0905505985
341	0.09015090891
342	0.08980218014
343	0.08935838676
344	0.08888474141
345	0.08883685109
346	0.08853164738
347	0.08809214368
348	0.08771984444
349	0.08745808318
350	0.08727474401
351	0.08700568747
352	0.0867714496
353	0.08663115939
354	0.08632304041
355	0.08615645177
356	0.08578969262
357	0.08549270621
358	0.08516840185
359	0.08476213021
360	0.08443807874
361	0.08437698837
362	0.08400173578
363	0.08395425657
364	0.08367164114
365	0.08347821948
366	0.08324128266
367	0.08282098792
368	0.08228849827
369	0.08194541674
370	0.0817034554
371	0.08131692036
372	0.08113267016
373	0.08086249907
374	0.08070101743
375	0.08060732444
376	0.08020634713
377	0.07993177682
378	0.07972830048
379	0.07958339518
380	0.07915389612
381	0.07901157719
382	0.07869968629
383	0.07837354503
384	0.07801846113
385	0.07769896931
386	0.0774225744
387	0.07738461972
388	0.07692964662
389	0.07670228346
390	0.07643987604
391	0.07607022748
392	0.07579368709
393	0.07569560609
394	0.07546965387
395	0.07543447258
396	0.07525031603
397	0.07501628469
398	0.07470493569
399	0.07443063804
400	0.07416101049
401	0.07412402232
402	0.07381603491
403	0.0733586147
404	0.07282593697
405	0.07250913841
406	0.07224029302
407	0.07217883744
408	0.07192351152
409	0.07188865907
410	0.07175707782
411	0.0715045003
412	0.07147068525
413	0.07121402855
414	0.07098831055
415	0.07077607624
